date_str,year_month,year,cost_gas_eur_mwh,cost_coal_eur_mwh,cost_diesel_eur_mwh,cost_uranium_eur_mwh,eu_ets_price_eur_tco2
2020-01-01,2020-01,2020,11.28,5.753385636227041,,1.6919996027936843,
2020-01-02,2020-01,2020,11.59,5.753385636227041,,1.6919996027936843,
2020-01-03,2020-01,2020,11.68,5.811811420030829,,1.6919996027936843,
2020-01-04,2020-01,2020,13.72,5.811811420030829,,1.6919996027936843,
2020-01-05,2020-01,2020,13.47,5.811811420030829,,1.6919996027936843,
2020-01-06,2020-01,2020,12.72,5.77822464841091,,1.6919996027936843,
2020-01-07,2020-01,2020,13.45,5.776086867226019,,1.6919996027936843,
2020-01-08,2020-01,2020,15.14,5.781965533700895,,1.6919996027936843,
2020-01-09,2020-01,2020,13.44,5.803571531288436,,1.6919996027936843,
2020-01-10,2020-01,2020,11.67,5.859950580526641,,1.6919996027936843,
2020-01-11,2020-01,2020,11.68,5.859950580526641,,1.6919996027936843,
2020-01-12,2020-01,2020,12.37,5.859950580526641,,1.6919996027936843,
2020-01-13,2020-01,2020,13.37,5.890173890518757,,1.6919996027936843,
2020-01-14,2020-01,2020,11.84,5.758737599963635,,1.6919996027936843,
2020-01-15,2020-01,2020,11.5,5.711572576894633,,1.6919996027936843,
2020-01-16,2020-01,2020,11.38,5.600615143788523,,1.6919996027936843,
2020-01-17,2020-01,2020,11.24,5.580297181439065,,1.6919996027936843,
2020-01-18,2020-01,2020,11.18,5.580297181439065,,1.6919996027936843,
2020-01-19,2020-01,2020,11.32,5.580297181439065,,1.6919996027936843,
2020-01-20,2020-01,2020,11.59,5.580297181439065,,1.6919996027936843,
2020-01-21,2020-01,2020,12.6,5.562996008597855,,1.6919996027936843,
2020-01-22,2020-01,2020,13.71,5.568675485326084,,1.6919996027936843,
2020-01-23,2020-01,2020,14.21,5.568778311927272,,1.6919996027936843,
2020-01-24,2020-01,2020,13.0,5.583985184474348,,1.6919996027936843,
2020-01-25,2020-01,2020,10.99,5.583985184474348,,1.6919996027936843,
2020-01-26,2020-01,2020,11.07,5.583985184474348,,1.6919996027936843,
2020-01-27,2020-01,2020,11.33,5.610251614545604,,1.6919996027936843,
2020-01-28,2020-01,2020,10.77,5.613096779925875,,1.6919996027936843,
2020-01-29,2020-01,2020,10.77,5.6172474495894775,,1.6919996027936843,
2020-01-30,2020-01,2020,10.26,5.6201576986271595,,1.6919996027936843,
2020-01-31,2020-01,2020,9.18,5.613903901596714,,1.6919996027936843,
2020-02-01,2020-02,2020,9.42,5.613903901596714,,1.6919996027936843,
2020-02-02,2020-02,2020,9.11,5.613903901596714,,1.6919996027936843,
2020-02-03,2020-02,2020,10.09,5.289632097578184,,1.6919996027936843,
2020-02-04,2020-02,2020,9.31,5.419077983614194,,1.6919996027936843,
2020-02-05,2020-02,2020,10.22,5.499034557345154,,1.6919996027936843,
2020-02-06,2020-02,2020,10.38,5.4712653417207235,,1.6919996027936843,
2020-02-07,2020-02,2020,10.08,5.3970057379951974,,1.6919996027936843,
2020-02-08,2020-02,2020,10.05,5.3970057379951974,,1.6919996027936843,
2020-02-09,2020-02,2020,9.68,5.3970057379951974,,1.6919996027936843,
2020-02-10,2020-02,2020,9.58,5.335062901168646,,1.6919996027936843,
2020-02-11,2020-02,2020,9.91,5.42012835804851,,1.6919996027936843,
2020-02-12,2020-02,2020,10.19,5.484674427428958,,1.6919996027936843,
2020-02-13,2020-02,2020,9.99,5.647788832294357,,1.6919996027936843,
2020-02-14,2020-02,2020,10.34,5.720024770497316,,1.6919996027936843,
2020-02-15,2020-02,2020,9.18,5.720024770497316,,1.6919996027936843,
2020-02-16,2020-02,2020,9.13,5.720024770497316,,1.6919996027936843,
2020-02-17,2020-02,2020,9.43,5.720024770497316,,1.6919996027936843,
2020-02-18,2020-02,2020,10.3,5.598464549728012,,1.6919996027936843,
2020-02-19,2020-02,2020,11.88,5.598887848821096,,1.6919996027936843,
2020-02-20,2020-02,2020,11.08,5.506044615862607,,1.6919996027936843,
2020-02-21,2020-02,2020,10.92,5.50593632966402,,1.6919996027936843,
2020-02-22,2020-02,2020,9.98,5.50593632966402,,1.6919996027936843,
2020-02-23,2020-02,2020,10.34,5.50593632966402,,1.6919996027936843,
2020-02-24,2020-02,2020,10.2,5.440334114427085,,1.6919996027936843,
2020-02-25,2020-02,2020,9.04,5.44090688049001,,1.6919996027936843,
2020-02-26,2020-02,2020,9.07,5.418864161436856,,1.6919996027936843,
2020-02-27,2020-02,2020,8.93,5.433851772264453,,1.6919996027936843,
2020-02-28,2020-02,2020,8.86,5.395596512222983,,1.6919996027936843,
2020-02-29,2020-02,2020,8.83,5.395596512222983,,1.6919996027936843,
2020-03-01,2020-03,2020,8.9,5.395596512222983,,1.6919996027936843,
2020-03-02,2020-03,2020,8.36,5.208004562862202,,1.6919996027936843,
2020-03-03,2020-03,2020,8.94,5.1812014688279415,,1.6919996027936843,
2020-03-04,2020-03,2020,9.03,5.175213585631972,,1.6919996027936843,
2020-03-05,2020-03,2020,8.85,5.249683217350654,,1.6919996027936843,
2020-03-06,2020-03,2020,8.94,5.155308636821124,,1.6919996027936843,
2020-03-07,2020-03,2020,9.07,5.155308636821124,,1.6919996027936843,
2020-03-08,2020-03,2020,9.24,5.155308636821124,,1.6919996027936843,
2020-03-09,2020-03,2020,9.32,5.011749679096044,,1.6919996027936843,
2020-03-10,2020-03,2020,8.93,5.001110544937107,,1.6919996027936843,
2020-03-11,2020-03,2020,9.12,5.042535625610074,,1.6919996027936843,
2020-03-12,2020-03,2020,9.32,5.0398862482136,,1.6919996027936843,
2020-03-13,2020-03,2020,9.4,5.118328426758573,,1.6919996027936843,
2020-03-14,2020-03,2020,9.75,5.118328426758573,,1.6919996027936843,
2020-03-15,2020-03,2020,9.97,5.118328426758573,,1.6919996027936843,
2020-03-16,2020-03,2020,10.16,5.1263900443755315,,1.6919996027936843,
2020-03-17,2020-03,2020,9.35,5.177811942512547,,1.6919996027936843,
2020-03-18,2020-03,2020,8.78,5.275111876418365,,1.6919996027936843,
2020-03-19,2020-03,2020,8.19,5.267464371354526,,1.6919996027936843,
2020-03-20,2020-03,2020,7.73,5.469690989682031,,1.6919996027936843,
2020-03-21,2020-03,2020,7.87,5.469690989682031,,1.6919996027936843,
2020-03-22,2020-03,2020,8.61,5.469690989682031,,1.6919996027936843,
2020-03-23,2020-03,2020,8.87,5.4564893319374095,,1.6919996027936843,
2020-03-24,2020-03,2020,8.72,5.4608367343347695,,1.6919996027936843,
2020-03-25,2020-03,2020,7.72,5.464359096375664,,1.6919996027936843,
2020-03-26,2020-03,2020,7.32,5.409454866932633,,1.6919996027936843,
2020-03-27,2020-03,2020,7.83,5.326197833862149,,1.6919996027936843,
2020-03-28,2020-03,2020,7.59,5.326197833862149,,1.6919996027936843,
2020-03-29,2020-03,2020,7.48,5.326197833862149,,1.6919996027936843,
2020-03-30,2020-03,2020,6.98,5.619146481162676,,1.6919996027936843,
2020-03-31,2020-03,2020,7.24,5.512986282044966,,1.6919996027936843,
2020-04-01,2020-04,2020,8.68,5.347813107862259,,1.6919996027936843,
2020-04-02,2020-04,2020,10.96,5.3329604765933665,,1.6919996027936843,
2020-04-03,2020-04,2020,7.62,5.260605032239782,,1.6919996027936843,
2020-04-04,2020-04,2020,8.83,5.260605032239782,,1.6919996027936843,
2020-04-05,2020-04,2020,9.26,5.260605032239782,,1.6919996027936843,
2020-04-06,2020-04,2020,8.04,5.251873184771986,,1.6919996027936843,
2020-04-07,2020-04,2020,8.18,5.350058749157734,,1.6919996027936843,
2020-04-08,2020-04,2020,8.17,5.24318927769441,,1.6919996027936843,
2020-04-09,2020-04,2020,8.09,5.286655058785288,,1.6919996027936843,
2020-04-10,2020-04,2020,8.74,5.286655058785288,,1.6919996027936843,
2020-04-11,2020-04,2020,8.51,5.286655058785288,,1.6919996027936843,
2020-04-12,2020-04,2020,8.42,5.286655058785288,,1.6919996027936843,
2020-04-13,2020-04,2020,8.73,5.253286993296381,,1.6919996027936843,
2020-04-14,2020-04,2020,8.73,5.139846277760365,,1.6919996027936843,
2020-04-15,2020-04,2020,7.82,5.077103677287807,,1.6919996027936843,
2020-04-16,2020-04,2020,7.75,5.125748433026134,,1.6919996027936843,
2020-04-17,2020-04,2020,6.98,5.159073695972189,,1.6919996027936843,
2020-04-18,2020-04,2020,6.96,5.159073695972189,,1.6919996027936843,
2020-04-19,2020-04,2020,7.05,5.159073695972189,,1.6919996027936843,
2020-04-20,2020-04,2020,7.05,5.155040778533516,,1.6919996027936843,
2020-04-21,2020-04,2020,6.95,5.099513635451785,,1.6919996027936843,
2020-04-22,2020-04,2020,6.97,5.114762839759861,,1.6919996027936843,
2020-04-23,2020-04,2020,6.53,5.108506902230507,,1.6919996027936843,
2020-04-24,2020-04,2020,6.32,5.123969020521637,,1.6919996027936843,
2020-04-25,2020-04,2020,6.0,5.123969020521637,,1.6919996027936843,
2020-04-26,2020-04,2020,6.47,5.123969020521637,,1.6919996027936843,
2020-04-27,2020-04,2020,6.4,4.437897725933725,,1.6919996027936843,
2020-04-28,2020-04,2020,6.48,4.392021992901939,,1.6919996027936843,
2020-04-29,2020-04,2020,6.52,4.415609317403367,,1.6919996027936843,
2020-04-30,2020-04,2020,6.22,4.512043307115782,,1.6919996027936843,
2020-05-01,2020-05,2020,5.55,4.461473802888406,,1.6919996027936843,
2020-05-02,2020-05,2020,6.16,4.461473802888406,,1.6919996027936843,
2020-05-03,2020-05,2020,5.97,4.461473802888406,,1.6919996027936843,
2020-05-04,2020-05,2020,5.93,4.371641077523431,,1.6919996027936843,
