technology,lifecycle_e_tco2_mwh,direct_e_tco2_mwh,heatrate,var_om_eur_mwh,fixed_om_eur_mwy,efficiency,fossil_fuel,avg_cap_year,
coal,0.82,0.82,8.49,8.55,80560,0.36,1,2061.175,
combined_cycle,0.36,0.36,6.07,2.2895,36005,0.57,1,26250.15,
gas_turbine,0.65,0.65,9.72,6.593,23750,0.52,1,1148.65,
vapor_turbine,0.7,0.7,10.5,6.593,23750,0.52,1,482.64,
cogeneration,0.49,0.49,6.07,1.8316,36005,0.57,1,5597.042,
diesel,0.82,0.82,10,4.75,33250,0.30,1,768.67,
nonrenewable_waste,0.23,0.23,0.3,11.077,155800,0.00,1,425.663,
nuclear,0.012,0,9.18,2.66,193800,1.00,0,7117.29,
conventional_hydro,0.024,0,0,0,87400,0.00,0,15942.07,
run_of_river_hydro,0.024,0,0,0,88000,0.00,0,1155,
pumped_hydro,0.024,0,0,0.551,19143,0.00,0,3331.4,
solar_pv,0.048,0,0,0,18734,0.00,0,29633.5,
solar_thermal,0.027,0,0,2.7645,70870,0.00,0,2302.223,
wind,0.0115,0,0,0,29365,0.00,0,31522.39,
other_renewable,0.038,0,0,4.75,155800,0.00,0,1110.284,
renewable_waste,0.038,0,0,4.75,155800,0.00,0,170.112,
battery,0,0,0,0,38295,0.00,0,1,
